learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,vote for class 0,vote for class 1,training queue size,recall0 Validation,recall1 Validation,time stamp,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
14.0,14.0,29.068833024118145,0.0,-64.1213126816759,-144.01105788123962,4.0,10.0,100.0,0.0,0.0,100.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.294201845E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,15.0,34.13745764933707,0.0,-64.12131268167592,-92.93335498855441,5.0,10.0,100.0,0.0,0.0,100.0,17.0,0.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.294441271E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,16.0,38.571384811742185,0.0,-64.1213126816759,-59.259553391915645,6.0,10.0,100.0,0.0,0.0,100.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.294447449E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,17.0,36.11549731200266,0.0,-54.26280141123908,-76.8894448167155,6.0,11.0,100.0,0.0,0.0,100.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.294447588E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,18.0,33.9331105692458,0.0,-69.79288302668635,-94.69741595287688,6.0,12.0,100.0,0.0,0.0,100.0,18.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.29446884E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,19.0,37.73374143856981,0.0,-46.76926081378747,-65.01480157433913,7.0,12.0,100.0,0.0,0.0,100.0,19.0,0.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.294469171E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,20.0,41.15321595010855,0.0,-46.76926081378749,-42.99437526640297,8.0,12.0,100.0,0.0,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.294883067E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,21.0,38.99035502216333,0.0,-41.085079640492076,-56.47368417947691,8.0,13.0,100.0,0.0,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.298425344E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,22.0,37.0248123040819,0.0,-53.361513017540986,-70.08914772803647,8.0,14.0,100.0,0.0,0.0,100.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.299733974E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,23.0,35.2308503498469,0.0,-65.76195077213586,-83.84214121142996,8.0,15.0,100.0,0.0,0.0,100.0,58.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.299888878E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
